ID,cnt_shared,price_shared
2539,4,87.5
2595,4,250.75
3647,36,102.1388889
3831,11,70.90909091
5022,7,81.28571429
5099,22,139.7727273
5121,56,61.48214286
5178,55,116.3090909
5203,69,79.82608696
5238,50,91.88
5295,57,95.38596491
5441,77,135.8571429
5803,17,81.82352941
6021,59,76.3220339
6090,10,478.3
6848,65,77.89230769
7097,14,81.85714286
7322,8,166.375
7726,20,65.8
7750,34,83.08823529
7801,38,93.05263158
8024,20,96.7
8025,20,96.7
8110,20,96.7
8490,14,78.07142857
8505,2,95
8700,13,81.15384615
9357,55,116.3090909
9518,12,55.83333333
9657,41,98.85365854
9668,32,76.09375
9704,54,90.2037037
9782,13,63.15384615
9783,52,65.67307692
10452,21,73.80952381
10962,17,81.82352941
11452,22,60.22727273
11708,78,62.93589744
11943,4,75.5
12048,50,91.88
12192,62,98.93548387
12299,3,51.66666667
12303,36,58.55555556
12318,1,135
12343,21,79.28571429
12627,4,87.5
12937,24,145.5416667
12940,16,66.75
13050,25,81.36
13394,9,89.11111111
13808,9,63
14287,7,131.1428571
14290,25,61.96
14314,17,106.4117647
14322,16,159.6875
14377,29,85.55172414
14991,34,111.4705882
15220,18,199.5555556
15338,14,56.78571429
15341,45,119.0666667
15385,50,84.56
15396,17,103.8235294
15711,16,100.5
16326,14,81.78571429
16338,20,165.4
16421,59,121.0338983
16458,10,93.4
16580,40,101.875
16595,17,89.82352941
16821,52,143.6538462
16974,25,69.32
17037,62,98.93548387
17092,98,110.2346939
17693,24,66.16666667
17747,27,84.88888889
18127,54,109.5
18152,6,98
18198,7,75.42857143
18590,14,81.85714286
18728,10,110.6
18764,73,92.32876712
19159,4,74.75
19169,55,102.8363636
19282,12,54.16666667
19319,28,76.14285714
19601,5,83
19812,38,93.05263158
20299,52,143.6538462
20300,49,160.9591837
20611,50,84.56
20724,54,58.44444444
20734,7,81.28571429
20755,17,103.5882353
20853,7,81.28571429
20913,35,73.6
21293,58,69.72413793
21456,59,76.3220339
21644,48,66.9375
21794,14,309.0714286
22911,15,81
22918,70,77.62857143
23135,4,84.75
23501,14,64.28571429
23686,25,116.12
24143,59,84.76271186
24285,4,77
25235,15,81
25406,49,98.71428571
25696,20,94.85
26012,5,72.4
26362,18,199.5555556
26520,17,103.5882353
26559,49,160.9591837
26785,17,81.82352941
26933,51,105.1960784
26954,22,150.9545455
26969,38,93.05263158
27006,3,134.3333333
27385,53,146.6603774
27531,15,83.53333333
27644,36,72.05555556
27659,5,63.2
27759,4,116.5
27883,52,143.6538462
28321,38,73.60526316
28396,21,114.9047619
28907,18,103
29012,8,78.75
29013,21,73.80952381
29455,13,84.23076923
29628,27,84.88888889
29683,8,134.25
30031,1,50
30927,50,91.88
31130,31,318.1290323
31555,22,145.7272727
31902,1,77
31994,13,78.46153846
32023,20,56.55
32037,17,103.5882353
32100,29,92.10344828
32289,29,93.65517241
32331,6,109.8333333
32363,3,81.33333333
32965,20,56.55
32969,8,89.125
33009,48,77.41666667
33014,62,98.93548387
33223,73,92.32876712
