id,grid
2539,CM106
2595,CI68
3647,CU47
3831,CP93
5022,CT51
5099,CL70
5121,CQ92
5178,CI63
5203,CN50
5238,CH82
5295,CO49
5441,CH65
5803,CH99
6021,CP51
6090,CD74
6848,CR84
7097,CM90
7322,CF72
7726,CT96
7750,CS52
7801,CQ80
8024,CK94
8025,CK94
8110,CK94
8490,CU93
8505,CL103
8700,CY26
9357,CI63
9518,DA27
9657,CI76
9668,CS42
9704,CR46
9782,CV79
9783,CR43
10452,CQ93
10962,CH99
11452,CU91
11708,CY86
11943,CO110
12048,CH82
12192,CJ79
12299,CK101
12303,CL88
12318,CK54
12343,CT46
12627,CO102
12937,CT70
12940,CQ94
13050,CU92
13394,CL90
13808,CV94
14287,CM56
14290,CW86
14314,CR74
14322,CJ73
14377,CP84
14991,CG80
15220,CG67
15338,CV78
15341,CF79
15385,CO83
15396,CF70
15711,CR61
16326,CO95
16338,CN91
16421,CG65
16458,CJ97
16580,CK77
16595,CN84
16821,CI79
16974,CV50
17037,CJ79
17092,CH64
17693,CU39
17747,CO93
18127,CH77
18152,CS62
18198,DF69
18590,CM90
18728,CD72
18764,CP83
19159,CR40
19169,CH80
19282,CO104
19319,CH83
19601,CG88
19812,CQ80
20299,CI79
20300,CJ77
20611,CO83
20724,CV87
20734,CM94
20755,CN92
20853,CM94
20913,CQ84
21293,CY87
21456,CP51
21644,CT40
21794,CD73
22911,CZ93
22918,CR42
23135,CE95
23501,CU36
23686,CD76
24143,CU82
24285,CJ98
25235,CZ93
25406,CS82
25696,CT47
26012,CH94
26362,CG67
26520,CN92
26559,CJ77
26785,CH99
26933,CJ78
26954,CJ71
26969,CQ80
27006,CL59
27385,CK78
27531,CI99
27644,CS41
27659,CK100
27759,CL58
27883,CI79
28321,CP103
28396,CO80
28907,CS59
29012,CX29
29013,CQ93
29455,CS45
29628,CO93
29683,CG78
30031,CS74
30927,CH82
31130,CI62
31555,CD75
31902,CX112
31994,CO92
32023,CW93
32037,CN92
32100,CR75
32289,CS81
32331,CG92
32363,DZ72
32965,CW93
32969,CV81
33009,CP82
33014,CJ79
33223,CP83
34760,CL90
35526,CE74
36121,CN97
36133,CP82
36442,CN97
36647,CV53
36703,CD75
36934,CO82
38638,CR59
38663,CJ92
39267,CR60
39282,CS83
39593,CZ70
39704,CT93
40039,CI86
40453,CO65
41348,CH99
41513,CS41
42580,CO91
42729,CE95
42882,BI107
43957,DB85
44096,CX39
44161,CN83
44212,CJ78
44221,CA85
44229,CM90
44288,CD73
44506,CS45
45393,CD75
45542,CV42
45556,CK91
45910,DG86
45936,CP49
45940,CP81
46544,CK94
46723,CS94
46911,CL95
47199,CR62
47362,CU94
47370,CE72
47926,CF64
48719,CH80
50447,CH98
51438,CR60
51485,CG79
51572,CF69
51850,ER97
53137,CG64
53196,CW89
53469,DM81
53470,DG86
53477,DM81
54158,CP80
54453,CI63
54466,CQ50
54508,CM95
54544,CT47
54626,CX39
54860,CU51
55467,CV81
55498,CW93
55668,CG77
55737,CD77
55959,CR84
55982,CL92
56467,CI77
56525,CQ77
56859,CT46
57166,DE61
57297,CG91
57468,CI77
57618,CI63
57740,CH76
57754,CI72
57874,CU47
58059,CU41
58062,CI102
58467,CS65
59014,CI80
59121,DG86
59642,CP75
59709,CF81
59855,CM66
60164,CD80
60457,CF75
60611,CT54
60666,CT46
60673,CT45
60680,CJ77
60794,CP51
60948,CV47
61167,CF80
61224,CE71
61406,CQ49
61492,CH82
61509,CN66
62095,CS107
62427,CH77
62430,DB92
62452,BG111
62461,BG110
62787,BG111
62891,CJ78
62903,CF72
62925,CQ76
63299,CR84
63320,BG111
63360,DC67
63546,CL109
63573,CJ99
63588,DS46
63610,DX21
63657,CU94
63693,CJ79
63719,CR93
63913,CY26
64000,CR85
64015,CI77
64107,CU95
64277,CT93
64314,CR96
64365,CR96
64707,CE81
64837,CJ79
65019,CJ58
65268,CR93
65556,CO82
65562,CJ76
65615,CR83
65660,CT84
65813,CU40
65834,CL97
66008,CG95
66026,CS98
66251,CI77
66275,CG80
66451,CQ83
66718,CR46
66741,CJ95
66974,CH94
67288,CS52
67299,CO82
67397,CP49
68099,CO50
68305,CS40
68403,DA93
68735,CL54
68765,CF95
68900,CQ76
68974,CF80
69894,CJ58
69921,DA85
70095,CY26
70128,CH75
70609,CK78
71010,CV38
71248,CH81
71366,CD76
71384,CQ77
71812,DF24
72190,CK59
72265,CR77
74073,CP83
74240,CP80
74333,CV47
74404,CQ50
74680,CW59
74860,CS78
75193,CQ82
75635,CI80
76761,CH100
77765,CR73
77936,CG64
78919,CH92
79067,CO93
79782,CR85
80493,CI79
80684,CR73
80700,CQ73
80924,CJ96
81739,CR73
82549,CE90
82550,CF89
82638,CI78
82928,CT94
83243,DB91
83446,CM91
83722,CP80
83847,CJ78
84010,CR73
84059,CT96
84659,CH77
84905,CF82
85094,CT98
86215,CH80
89427,CO92
89621,CS94
93313,CV93
94035,DD65
94209,CT96
94477,CX90
94783,CQ97
95747,CS83
95883,CR89
96471,CO93
98330,CK73
98663,CF69
99070,CU53
99085,CL92
100002,CW31
100184,ES78
100186,CG98
101053,CQ83
102995,CM56
103161,CP81
103311,CQ73
103806,CH78
105469,EE129
105510,CS98
106363,CR40
106647,CQ93
107630,CQ77
107895,CI58
110739,CH71
112100,CP96
112304,CR49
112359,CS56
112435,CL90
113265,CS96
113945,CG66
114123,CH100
114229,CG80
114969,CN67
115535,CR42
115678,CU44
115748,DA64
116940,CS96
117425,CG90
